Preescolar,Inicial 1,Inicial 1 (de 2 a 3 años),Inicial 1 (de 2 a 3 años)
Preescolar,Inicial 2,Inicial 2 (de 3 a 4 años),Inicial 2 (de 3 a 4 años)
Preescolar,Prekinder,Inicial 2 (de 4 a 5 años),Inicial 2 (de 4 a 5 años)
Preescolar,Kinder,1ro. de Educación Básica,1ro. de Educación Básica
Elementary,Elementary A,2do. de Educación Básica,2do. de Educación Básica
Elementary,Elementary B,3ro. de Educación Básica,3ro. de Educación Básica
Elementary,Elementary C,4to. de Educación Básica,4to. de Educación Básica
Elementary,Elementary D,5to. de Educación Básica,5to. de Educación Básica
Middle,Middle A,6to. de Educación Básica,6to. de Educación Básica
Middle,Middle B,7mo. de Educación Básica,7mo. de Educación Básica
Middle,Middle C,8vo. de Educación Básica,8vo. de Educación Básica
Middle,Middle D,9no. de Educación Básica,9no. de Educación Básica
Preparatory,Preparatory A,1mo. de Educación Básica,1mo. de Educación Básica
Preparatory,Preparatory B,1ro. de Bachillerato General Unificado,1ro. de Bachillerato General Unificado
Preparatory,Preparatory C,2do. de Bachillerato General Unificado,2do. de Bachillerato General Unificado
Preparatory,Preparatory D,3ro. de Bachillerato General Unificado,3ro. de Bachillerato General Unificado

